"","V1","V1","precinct","date","description","latitude","longitude"
"1",327708,2594657,101,2010-12-13,"PETIT LARCENY",40.6091,-73.76557
"2",67510,2425353,42,2010-08-16,"BURGLARY",40.83227,-73.90009
"3",837609,3428956,77,2012-08-11,"HARRASSMENT 2",40.67402,-73.96495
"4",761899,6718183,66,2019-06-21,"CRIMINAL MISCHIEF & RELATED OF",40.6399,-74.00319
"5",106522,7074590,104,2020-04-08,"CRIMINAL MISCHIEF & RELATED OF",40.71307,-73.90879
"6",887833,6828811,1,2019-09-12,"SEX CRIMES",40.72026,-74.00709
"7",556543,1703652,30,2009-03-24,"VEHICLE AND TRAFFIC LAWS",40.82534,-73.94382
"8",305274,3138918,68,2012-01-19,"GRAND LARCENY",40.62895,-74.00561
"9",632343,2353332,45,2010-06-28,"CRIMINAL MISCHIEF & RELATED OF",40.83958,-73.84334
"10",801031,5022067,60,2015-11-11,"GRAND LARCENY",40.57712,-73.96374
"11",885280,4233911,23,2014-04-03,"HARRASSMENT 2",40.79303,-73.94216
"12",314480,5939116,40,2017-10-17,"PETIT LARCENY",40.81477,-73.92403
"13",58731,5264683,28,2016-05-19,"HARRASSMENT 2",40.80316,-73.95448
"14",852713,3645751,43,2013-01-20,"GRAND LARCENY",40.82123,-73.87273
"15",989685,1362420,83,2008-07-24,"GRAND LARCENY OF MOTOR VEHICLE",40.69783,-73.92326
"16",523472,6687778,46,2019-05-28,"RAPE",40.85396,-73.90012
"17",308807,1926466,68,2009-08-25,"HARRASSMENT 2",40.63135,-74.01504
"18",719024,2098085,14,2009-12-26,"FRAUDS",40.751,-73.99062
"19",757484,6546544,20,2019-01-31,"HARRASSMENT 2",40.78514,-73.97502
"20",445617,4570312,113,2014-11-29,"DANGEROUS WEAPONS",40.6797,-73.77605
"21",515448,2115390,69,2010-01-08,"BURGLARY",40.62923,-73.89688
"22",741082,6714809,108,2019-06-18,"HARRASSMENT 2",40.74447,-73.95353
"23",248757,1438060,7,2008-09-11,"DANGEROUS WEAPONS",40.71652,-73.98493
"24",496751,7089913,33,2020-04-27,"PETIT LARCENY",40.8484,-73.93767
"25",399765,3529105,50,2012-10-20,"CRIMINAL MISCHIEF & RELATED OF",40.87367,-73.90801
"26",363173,6477245,113,2018-12-07,"HARRASSMENT 2",40.69099,-73.78288
"27",571832,556383,18,2007-01-18,"DANGEROUS DRUGS",40.759768442,-73.989811298
"28",364354,6460373,69,2018-11-25,"GRAND LARCENY",40.63958,-73.89749
"29",624260,1034191,52,2007-12-09,"FELONY ASSAULT",40.86418,-73.89717
"30",999665,3102572,41,2011-12-22,"DANGEROUS DRUGS",40.81612,-73.89776
"31",247138,1476033,123,2008-10-07,"HARRASSMENT 2",40.53081,-74.21865
"32",497147,2861789,43,2011-07-01,"DANGEROUS DRUGS",40.81032,-73.85232
"33",992850,22988,78,2006-01-16,"ASSAULT 3 & RELATED OFFENSES",40.662451925,-73.981979329
"34",997661,6325099,88,2018-08-14,"ROBBERY",40.68891,-73.98093
"35",221834,6607065,66,2019-03-25,"ASSAULT 3 & RELATED OFFENSES",40.64214,-74.00086
"36",728190,6230850,113,2018-06-05,"FELONY ASSAULT",40.69175,-73.79038
"37",800862,4949583,109,2015-09-18,"GRAND LARCENY",40.7785,-73.79434
"38",850519,6614421,20,2019-03-31,"CRIMINAL MISCHIEF & RELATED OF",40.77982,-73.98448
"39",883293,3826221,71,2013-06-08,"CRIMINAL MISCHIEF & RELATED OF",40.66503,-73.95597
"40",497538,3004739,102,2011-10-11,"INTOXICATED & IMPAIRED DRIVING",40.69469,-73.81428
"41",716480,1575697,14,2008-12-17,"BURGLARY",40.75066,-73.98295
"42",531926,2608169,70,2010-12-24,"DANGEROUS WEAPONS",40.64702,-73.95812
"43",99688,7304107,108,2020-11-02,"ROBBERY",40.74634,-73.89633
"44",718344,3689715,24,2013-02-25,"PETIT LARCENY",40.79372,-73.97261
"45",9329,3816882,81,2013-06-01,"ASSAULT 3 & RELATED OFFENSES",40.68051,-73.92857
"46",203966,4376201,69,2014-07-14,"HARRASSMENT 2",40.63578,-73.89326
"47",469768,5226116,73,2016-04-21,"SEX CRIMES",40.67066,-73.91339
"48",163055,948185,72,2007-10-11,"FELONY ASSAULT",40.64536,-74.01527
"49",313838,79422,63,2006-02-27,"PETIT LARCENY",NA,NA
"50",251072,2293980,50,2010-05-19,"DANGEROUS WEAPONS",40.86976,-73.90098
"51",604521,6079709,77,2018-02-06,"BURGLARY",40.67052,-73.92957
"52",12567,4418613,46,2014-08-12,"PETIT LARCENY",40.84862,-73.91397
"53",462210,4067147,66,2013-11-24,"OFFENSES AGAINST PUBLIC ADMINI",40.63363,-74.00646
"54",117141,1531259,30,2008-11-14,"ROBBERY",40.82491,-73.94785
"55",932999,5509711,18,2016-11-16,"DANGEROUS DRUGS",40.76034,-73.99311
"56",452633,3997528,105,2013-10-05,"PETIT LARCENY",40.65773,-73.77009
"57",169883,3315402,40,2012-05-25,"GRAND LARCENY OF MOTOR VEHICLE",40.81112,-73.92733
"58",108111,7227484,67,2020-08-29,"MISCELLANEOUS PENAL LAW",40.65216,-73.91225
"59",488314,3762442,13,2013-04-23,"GRAND LARCENY",40.73919,-73.99341
"60",854980,912715,101,2007-09-19,"DANGEROUS DRUGS",40.596431562,-73.784677067
"61",871310,7255893,50,2020-09-22,"ASSAULT 3 & RELATED OFFENSES",40.87153,-73.90446
"62",812834,4570748,49,2014-11-29,"DANGEROUS DRUGS",40.84655,-73.85989
"63",995527,5134845,34,2016-02-09,"CRIMINAL MISCHIEF & RELATED OF",40.86606,-73.9193
"64",149849,985931,103,2007-11-05,"POSSESSION OF STOLEN PROPERTY",40.70703,-73.78639
"65",163296,5227973,52,2016-04-22,"OFF. AGNST PUB ORD SENSBLTY &",40.86922,-73.89339
"66",21672,6323680,63,2018-08-12,"HARRASSMENT 2",40.6194,-73.93966
"67",108358,1155021,72,2008-03-04,"GRAND LARCENY",40.64697,-74.02094
"68",444759,1582494,122,2008-12-22,"CRIMINAL MISCHIEF & RELATED OF",40.59889,-74.16781
"69",18186,4409273,108,2014-08-05,"ASSAULT 3 & RELATED OFFENSES",40.74308,-73.95474
"70",329233,3938487,120,2013-08-26,"FELONY ASSAULT",40.61549,-74.08166
"71",237425,2959365,6,2011-09-08,"PETIT LARCENY",40.73434,-74.00466
"72",423173,558440,67,2007-01-20,"CRIMINAL MISCHIEF & RELATED OF",40.651436362,-73.925503111
"73",358736,1696470,1,2009-03-18,"OFF. AGNST PUB ORD SENSBLTY &",40.70501,-74.00715
"74",698760,589358,26,2007-02-12,"ROBBERY",40.814850289,-73.956681848
"75",659775,2663995,84,2011-02-09,"PETIT LARCENY",40.68571,-73.98168
